,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,Description,PhotoAmt,AdoptionSpeed
1007,Cat,3,Domestic Short Hair,Female,Gray,No Color,Small,Medium,Yes,No,Healthy,0,Cat for adoption,1,2
968,Dog,3,Mixed Breed,Female,Black,Brown,Large,Short,Not Sure,No,Healthy,0,Lovely puppy looking for a forever home. Commitment to spay is compulsory. If u are interested to adopt pls contact Amy,2,3
7117,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,Yellow Ranger is adopted! Thank you.,4,1
1179,Dog,96,Golden Retriever,Male,Golden,No Color,Large,Long,Yes,Yes,Healthy,0,Johnny is an 8 year old Golden retriever who is great with kids an obsessed with balls. He is urgently looking for a home as his current owners are aging and have no space in their new home.,2,2
10942,Dog,5,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Not Sure,Healthy,0,"We found this dog roaming outside our house and was told that she has been around for the last few day (Since Aug.3) I already posted her at petfinder.my in lost & found yet nobody claim it since. Now she has been rehab to a good condition and ready for a permanent home. She is a very intelligent and playful dog. Good at guarding house too. Anyone who is interested or know anyone who wants a puppy, please whatsapp me at .",6,2
1070,Cat,12,Domestic Short Hair,Male,Brown,Cream,Medium,Medium,No,No,Serious Injury,0,"Hi, my name is Odin. I got hurt in a nasty cat fight. It's OK though, my vet is a pro. I lost my right eye, but gained a very badass scar. Seeking human companion for foster care/adoption. If you would like to be my human, please submit an application to",3,4
1514,Cat,2,Domestic Medium Hair,Female,White,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,"Adorable,Very lovely, gentle n manja",4,1
626,Cat,2,Domestic Short Hair,Female,Black,Gray,Medium,Short,Not Sure,Not Sure,Healthy,0,"Walker was rescued from a group of stray dogs who was throwing her around like a rag doll, she had no serious injuries just a minor limp on her hind leg. We had nursed her back to health and we had always cheered her to walk well hence the name Walker was born as she started walking back normally and even jumping around giddily now. She has turned out to be a fun boisterous loving kitten who loves to be petted and talked to. She is a cute little bossy kitten who is definitely vocal in letting her know what she wants. She even does not complain during her baths and loves watching the TV.She just needs a wonderful loving family out there who will care for her and talk to her.",0,4
8538,Cat,2,Domestic Short Hair,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,"LOVELY, PLAYFUL KITTEN READY FOR A NEW PERMANENT LOVING FAMILY!!!",5,2
2876,Cat,2,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,0,"We found this little lady on Christmas day, in bad shape. Very under fed and skin conditions. She no longer has skin issues and has put on weight. De-flead and De wormed. Very playful and full of energy... not scared of other cats!",1,3
1770,Dog,36,Shih Tzu,Male,Cream,No Color,Medium,Short,Yes,Not Sure,Healthy,80,Is a wwell-behaved dog. Won't bite things and won't simply bark.,3,3
9648,Cat,15,Domestic Short Hair,Male,Yellow,White,Large,Short,Yes,Yes,Healthy,0,"**Urgent!!! Cute Kitty looking for forever home! . Please help to share this urgently. Interested parties, please contact me at. KL Area.",2,1
488,Cat,8,Domestic Short Hair,Female,Gray,White,Medium,Short,Not Sure,Not Sure,Healthy,0,"We rescued MQ near the durian stalls at Pandan Jaya. We were just finished eating the famous Musang King (that's why we called her MQ) and when we were about to enter our car, we saw MQ wandering near to our car. We called her and to our surprise, she came to us and was very friendly. She was a bit dusty and thin so, we took her back to our house and took care of her. Musang Queen is very gentle, toilet trained and loves the attention. We would prefer if MQ shall be raised alone or with additional 1 cat in the family because she will be very attached with you and might make other cats jealous :D Do SMS and state your reason to adopt her as we want to find the suitable new owner who can provide all the love she need.",5,2
9547,Cat,12,Domestic Short Hair,Male,Yellow,Cream,Large,Short,No,No,Healthy,0,Oyen menjadi penyewa tetap gerai makcik rina since last 2 weeks.. sangat manja . We suspect that dia dibuang oleh owner nya based on his behaviour yg seperti dah biasa di train. sangat manja+ well behave+ comel. he just need someone that can love him + take a good care of him,4,3
6207,Dog,2,Mixed Breed,Male,Brown,White,Medium,Medium,Yes,No,Healthy,0,for adoption,4,1
5233,Cat,2,Tuxedo,Male,Black,White,Small,Short,No,No,Healthy,0,Theodore is looking for new loving family who can give a forever home. He is very active and only boy the siblings. He is good with other cats and toilet trained. He has very cute curly tail and very healthy. If you are interested please email me at,1,1
6786,Cat,3,Domestic Short Hair,Female,Brown,Golden,Medium,Short,No,No,Healthy,0,"- DOB 27/1/ - active female kitten - can eat wetfood(whiskas junior/etc) - litter trained - open for adopt because house under renovation , i dont want her to caught all the dust while contractor do their work. -please, take her home. (i already neuter her mom, and her mum macam marah dia taknak dekat dengan dia)",6,4
10432,Dog,2,Mixed Breed,Male,Brown,Golden,Medium,Medium,Yes,No,Healthy,0,Little Bentley is a vibrant pup who likes people. This little boy is active and will make a good guard dog in the future. If you wish adopt please call. Rescued puppies always come from a sad background. Their mothers are always ahandoned and suffer a sad faith. Please give Bentley a place in your home and hearts,2,2
4955,Dog,3,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,"A litter of pups were found in a pipeline & busy street. Our rescuer fearing they may be crushed just had to save them. They are frightened and hoping for a Tender, Loving, Care home. Please call or for further details on the adoption. ..",2,1
5802,Dog,36,Mixed Breed,Male,Brown,Cream,Small,Long,Yes,Yes,Healthy,150,"LOST/ABANDONED & FOUND at SS2/4 for adoption, kindly call and do not message us - Previously : Deep wound on the neck. Received treatment and still boarded in St Angel. Named: Ducky Age: 2-3yrs Gender: Male Breed: Welsh Corgi mixed Vaccinated and neutered. Terms, Conditions & Guideline Exceptions : 1) I agree that the animal is being adopted for myself and will not be sold, adopted or given to any other part 2) The adopted furry kid will not be allowed outdoors without supervision, when taking my dog outdoor, s/he will be on secure harness and proper ID is worn 3) The furry kid must be cared in humane manner. This includes supplying adequate food, water, shelter, attention and medical care 4) I agree that at any point I am not able keep the furry kid, I will return him/her to Cherish Life Home without requesting a fee 5) I am giving full rights and permission to the rescuer and Cherish Life home to call or visit my home at any reasonable time to assure that the animal is properly treated and cared for 7) I agree to keep Cherish Life Home informed of my current home address and contact number 8) I agree that the furry kid must not be and will not be permanently chained, caged or tied up for more than four (4) hours in a day",13,2
5018,Cat,3,Domestic Short Hair,Female,Gray,White,Small,Short,No,No,Minor Injury,0,"Have to give deposit RM for her spaying when at right age, will fully refund RM , when showing receipt. Must keep indoor and love her till the day she end of world. Promise no give up when she get sick / old at future.",8,3
8495,Cat,12,Domestic Medium Hair,Female,Black,Brown,Medium,Medium,No,Yes,Healthy,0,"Luna mummy was found with 3 kitten at the alley. She is a extremely gentle and well behave cat. She is lovely and clingy, always longing for the pat at her head and tummy. She has a thick and beautiful medium length coat, fluffy tail. She is spayed and ready for adoption. The adopter must vaccinate her, keep the Cat INDOOR ONLY at all times, do not feed cheapies brand of kibbles, and do not caged her.",3,3
3646,Cat,4,Domestic Short Hair,Male,Golden,White,Medium,Short,Yes,No,Healthy,0,"We were walking in the Georgetown city centre on a Friday night () and came across a poor little ginger kitten. It was malnourished and had a virus so bad that I initially thought it was abused. We offered it food and water but it was too weak to accept it. We knew that it would most likely die of hunger with the state it was in, so we brought it to the veterinary clinic. Since then we have nursed it back to health and brought it back to KL with us. What I have noticed that it is like no other streetcat I've seen before - friendly, cuddly, curious, supercool, overall a lovely character. You may have heard it all before but he is quite a special one! He is now fully recovered from his wounds. We have also dewormed and defleaed him, and his fur is purrfectly beautiful. We are now progressing him with the best vaccination possible. We need to leave the country within the next 2 weeks, so we urgently need to find him wonderful owners who will love him and take care of him. Ginger's hobbies are: football, hunting, extended naps with humans, cuddle big time, getting bellyrubs, and eating!",7,1
8473,Dog,2,Mixed Breed,Male,Brown,White,Small,Short,Not Sure,Not Sure,Healthy,0,"""Buddy"" means ""companion"" .. Buddy is one of the 5 rescued puppies (Twinkle,Pixie,Sparky and Elmo) Really hope all of them can be adopted by a loving and caring family as soon as possible , including Buddy .. If interested , please go forward to Mrs.Lai at , thanks :)",1,4
6389,Cat,5,Domestic Short Hair,Female,Brown,White,Small,Short,No,No,Healthy,100,"Adoption conditions: 1. Regular vaccination 2. keep indoor 3. Can't keep in the cage long time 4. must be given proper care and food 5. You must have the economic ability to cope with future medical expenses and cats daily expenses. 6. Recent regularly update kitty to me know 7. If you can not continue to take care the cat in the future,u must return it to me 8. The adopter must sign an adoption agreement",2,4
9196,Dog,4,Mixed Breed,Female,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,0,"I found this baby in front of my house in jalan Rasah seremban.She is about 3 to 4 months of age ,healthy, cheerful and so playful. Pls respond as it is very urgent .the faster she gets a home the better it is for her .pls pm me if u are interested .tqvm .",2,4
586,Cat,2,Domestic Short Hair,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,"Lady was found at the back of my family's home miaowing all day so we took her in when we realize her mother isn't coming back for her. It has been a month since she first came in our home and she is a great kitten, playful and active, litter trained, and am currently teaching her how to fetch (not doing so well, she picks it up and runs off to a corner to devour it -_-) My parents are allergic to cats so I have no choice but to keep her in our unused bathroom-turned-temporary-kitty-home. I am looking for a serious and loving pet owner who is willing to take Lady in and give her the happy life she deserves. Please do not hesitate to contact me if you would like to know more :)",5,2
1892,Cat,3,Oriental Short Hair,Female,Brown,White,Medium,Short,Not Sure,Not Sure,Healthy,0,If you are interested to adopt pls contact Rachel,2,2
7441,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,"Suspected the mother was abandoned after getting pregnant and had give birth to 10pups at a construction site. Story can be found at following link: However only 3pups (Mickey, Minnie, Donald) survived due to serious flu, and now they are healthy and ready to be adopted to a loving home. 1) GENDER: Female(Minnie) 2) AGE : Approximately 2months 3) VACCINATED : No, too young 4) DEWORMED : Yes 5) SPAYED / NEUTERED : No, too young 6) LOCATION : Can be arrange 7) ADOPTION FEE : None, but with condition that it must be neutered.",2,4
6634,Dog,7,Chihuahua,Female,Cream,White,Small,Short,Yes,Yes,Healthy,0,Hi. Animal Lover Out There! *Lovely* pet free Adopt. 7month old Chihuahua Mix Pincher Female Cream Color Both Done Vaccine & spayed Location: Seremban (Own pick up) FREE for adopt Call: Ms.Chan,3,4
9924,Dog,7,Labrador Retriever,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,0,"I've had Angel for a year now, and know all Angel's good traits as below: 1) Once Angel trusts you, she will be a loving and loyal pet, who will greet you VERY excitedly when you come home (even if gone for 5 minutes!). Be warned that she is a licker :) 2) She protectively guards the house, barking when people are near. So she makes a great guard dog/doorbell. 3) She does NOT bark all the time and annoy the neighbours 4) She is intelligent, e.g. she knew how to use my dog potty mat without any training, and will obey if you tell her to sit instead of jumping on you when you're eating. 5) She's not hyperactive but active enough that you can jog with her if you want a jogging companion. 6) Fully vaccinated, dewormed and spayed with no known health problems. However she was previously abandoned and possibly abused by her previous owner, resulting in some occasional aggression due to insecurity and fear. While she is friendly with most people and male dogs, she is occasionally (not always) aggressive when around other FEMALE DOGS, and in SMALL CONFINED SPACES or TIED UP for too long BY HERSELF. Meaning under these conditions, she might growl, snarl and in the case of female dogs, potentially fight with the other dog, but not all the time as she is usually playful with other females once she is used to them. She does NOT have this problem with male dogs and she also does NOT bite people, including children, unless you intentionally agitate her (in which case, you shouldn't be adopting a dog). So if you're an experienced dog owner with an open heart and willing to give an occasionally temperamental dog a loving home, please read on. Interested adopters should: - Be experienced in keeping dogs, as well as able to keep calm and handle somewhat aggressive dogs. Angel can easily be approached by a person she trusts and touched to calm her down as I do this often. - Preferably already have a mature and friendly MALE dog to keep her company, especially if you are frequently away. No female dog owners, for the reasons stated above. I have a male dog whom Angel gets along with perfectly fine. - Preferably have garden/porch for her to run in when you are out. Although she is used to living in a house, she will get agitated if you leave her in the house alone. She is fine if left by herself in a garden whole day or if someone or another dog is with her in the house. I'm giving Angel up not because I cannot stand her behaviour, but because I wish to do more dog rescue work which involves me temporarily keeping unfamiliar dogs, including nursing mothers, at my house, and I do not want her attacking the female dogs. Also because I may plan to move overseas in a few years and will take all my dogs, but Angel will be extremely stressed if in a plane and quarantine for a long period. Thanks for reading, and if interested to give Angel a wonderful forever home, please call Carol at. Located in Subang Jaya.",6,4
3571,Cat,48,Domestic Short Hair,Female,Black,Brown,Small,Short,Yes,No,Healthy,0,"Looks fierce doesn't she? Well, appearance can be deceiving. She's a loving darling who enjoys your company. Missy is perfect for old people as she's a kitty who doesn't require much attention. All she asks is to allow her to accompany you and let her be in the same room with you. However, Missy is part feral so her nature is aggresive and territorial with other cats. So if you're considering on getting ONE cat, she's perfect for you. But not advisable for people who already have another cat or planning to have more than one cat. Missy also has 4 babies (4 months old) up for adoption.",3,4
9118,Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Not Sure,No,Healthy,0,Commitment to spay her is compulsory. Interested to adopt pls contact Amy  -,1,2
6781,Cat,2,Domestic Medium Hair,Female,Cream,No Color,Medium,Medium,No,No,Healthy,0,Lala is a female kitten.litter train.very active and playful.love to mingle around human.pls sms affi at if you are interested to adopt.pick up point is at caltex in front of sunway pyramid,3,2
9921,Dog,84,Basset Hound,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,"Have you always wanted a sweet basset to complete your life? If so, you've definitely found her! Her name is Sophie! She was rescued by Cherishlife Home in August and adopted by her current family in October. She was found wandering the streets so everyone is pretty convinced she was abandoned. Unfortunately, because of this her history is unknown. The vet is unsure of her exact age but puts her between 6-7 years old. When we took Sophie home she was underweight and her eyes were a leaky mess. She had obviously not been loved or cared for in quite some time. She's now healthy and looking for a true furever home. Sophie's sweet & affectionate towards people and other dogs but would be happiest to be the only female dog in the house. She howls when left alone (like most bassets) so would do best in a home with people that around most of the time or have dog loving neighbours! If you can provide Sophie with the love and affection she deserves, please call us. :)",21,3
8294,Cat,4,Domestic Short Hair,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,"Mimi Mouse is a black calico kitten. Black / calico kittens are typically MORE HUGGABLE / MANJA than others. Major treatment for Mange done, Blood test + NICE FIGURE & SILKY MEDIUM LONG FUR indicate healthy body Further rehab at Shelter Anyone wants to contribute to her Medical+Hospitalisation+boarding+Shelter Costs will be receive free gift. Whatsapp NOW  ~ 4 months of age",1,3
2894,Cat,8,Domestic Short Hair,Female,Black,Golden,Medium,Short,No,No,Healthy,0,"I'm moving to Sarawak in mid may, urgently need someone to adopt my cat. She's very intelligent cat, she can listen to command sit down. She likes outdoor, and she can mix well with dogs once you slowly introduce and tell them ""friend"". She's toilet trained in a flower pot with sand/soil.",5,2
10069,Dog,14,German Spitz,Female,Black,Golden,Small,Medium,Yes,No,Healthy,150,"She is a very friendly dog, She love people to sayang her soooo much. Very playfull..... and she's really take care of our house.",3,4
6514,Cat,25,Domestic Medium Hair,Female,Brown,Gray,Medium,Medium,Yes,Not Sure,Healthy,0,"lovely cat, shows alot of effection once she's comfortable. A nice addition to your household",2,4
7538,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,"Looking for a safe and new home for this baby Milo. Rescued from a busy area. Full of energy, friendly and playful too.",4,2
3930,Cat,8,Domestic Medium Hair,Male,Cream,Gray,Large,Medium,No,No,Healthy,0,"Extremely healthy and fat. Loves to eat and is very loving and obedient. Litter trained and understands basic commands like sit down, sleep, come here, etc. He's very loving and is great company.",1,4
8512,Cat,1,Russian Blue,Female,Cream,Gray,Medium,Long,No,No,Healthy,100,"Introducing sassy little Zabell! ♥ Female kitten, almost 6 weeks old. Has a blue tortie-tabby long-hair coat with gorgeous hazel eyes. ♥ Zabell is a curious little diva who likes observing things. Do not be fooled by her size - she can sprint in quick bursts and LOVES to play. Strings, paper balls, tunnels, she enjoys them all. ♥ First of her siblings to puff up and test ""strange"" things or new people in her space - she is very confident. She also has her own way of displaying affection - sometimes she's purry, other times she watches, sometimes she wants to be stroked by feet, others right on our laps. :) ♥ Very good when carried and rather rag-doll like. Not to be mistaken for a lazy kitten - Zabell is an energetic girl and and will need constant stimulation. ♥ This girl is very clever with her little-box and eats her kibble independantly. She has been dewormed (still too young to be vaccinated) and is in good health. ***[IMPORTANT] Note for potential adopters*** ○ Zabell must be kept % indoors for her own safety. Apartments should be cat-safe. ○ Spaying is compulsory (when she's older). ○ Premium food feeding only (no Whiskas, Friskies etc). Please inquire - this is for any cat's long term welfare. Please drop me an email or text (WhatsApp) if you feel that you may be just the right person for this girl. Thank you!",5,1
11505,Cat,12,American Shorthair,Male,Gray,White,Medium,Short,No,No,Minor Injury,0,kucing pertama yg kami selamatkan.. jatuh dlm longkang.. kami bela dari kecik n comot2 lagi.. abg Long ni jenis yg caring sal adik2 die yg len.. tp xske ade kucing yg lg besar dr die.. die hormat Papa. die suke:- becermin -guling2 -main dry food -berimaginasi die seekor kucing yg;- tegas -penyakat,2,0
10214,Dog,12,Mixed Breed,Male,Cream,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,"Anyone like to adopt this poor stray dog ? He come here about one month ald (Prima Damansara) , we have been called the SPCA , but they said no place to adopt him , need to wait for six months ....he sleep at under the car , we feed him twice times everyday , he very scared of people but he very friendly. We hope can find a person who really love dog and got place to adopt him since we don't have place to adopt him .... Any Good guy please adopt him as soon as possible Anyone who love dog and have a place ,please adopt him as soon as possible , he come here more than one month ald , he is a nice dog ,but we don't have a place to adopt him...He very scared of people (we suspect he been bullied by people) he stay under a car and scared to go any far place , so he poo infront of the empty corridor shop , to avoid those residents bully and complaint about him , we got clean the poo one or two times in a week , but still those people blame us why continue give food to the dog , he said our action is like encourage the dog to walk around here....very sad to heard this and just now one old man said those people may put the poison to the dog food and let him eat (feel this man not a good guy also ) make me more worried.... so we really hope a good guy can adopt him as soon as possible",5,4
6380,Dog,2,Mixed Breed,Male,Cream,No Color,Medium,Short,Yes,No,Healthy,100,Whatsapps,4,4
5388,Dog,2,Mixed Breed,Male,Brown,No Color,Small,Short,Yes,Yes,Minor Injury,0,"URGENT‼Adopters/ Rescuers needed 2 month old / male / seeking forever home Little brown here was ran over by a car yesterday, its body is full with fleas bite and limping badly, after i brought him for treatment and washed him with anti fleas and ticks shampoo he is progressing quickly where all the worms no longer resides on its body but still limping, however i cant accommodate any longer because my family members are sensitive to fur animals, so im seeking adopters if anyone willing to give little brown here a forever home, he is a very good and obedient dog hardly cry or barks. dog foods shampoo and medicine that i bought will be given for free. Contact :",5,4
6459,Cat,1,Domestic Short Hair,Male,Black,Brown,Medium,Short,No,No,Healthy,0,"Simba loves human companion. Playful at his age, he will still comes when you call him.",1,2
8306,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,Found this puppy outside an abandoned warehouse near where I work. She was all alone and no mother or siblings were to be found nearby. She is a healthy pup; very playful; with an amazing personality.,2,3
2945,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,"These two adorable pups are chubby and active, with distinctive black muzzle. Bentley, the female, is a bit smaller than her brother Black Tail. Vaccinations and neutering are compulsory. No tying up or caging for long hours. Pups are prone to chewing, digging and biting things _ so please call only if you have time to train and love them.",8,1
4445,Cat,24,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Yes,Yes,Healthy,0,"I found them around my garden and gave them all necessary vaccination and neuter/spay them too. Nw its been 2 years the recent one 3 mnths they are with me. Sleeping, playing, walk in the park together.",4,4
1662,Cat,2,Oriental Short Hair,Female,Gray,White,Medium,Short,Yes,No,Healthy,0,cute and friendly,1,2
4708,Dog,1,Terrier,Female,Black,No Color,Medium,Long,No,No,Healthy,0,"Her mum is a terrier mix with tall & thin body. More details, pls call",6,1
3553,Cat,2,Domestic Short Hair,Male,Brown,Golden,Medium,Short,No,No,Healthy,0,Very hyperactive and happy kitten. Could not spend much time with him as we're too busy and feel too guilty for him.,2,2
4714,Dog,4,Mixed Breed,Female,Black,Yellow,Medium,Medium,Yes,No,Healthy,0,"June had a sister who already got adopted, they were both abandoned and need a chance for loving home. Please, give June a chance!",2,3
152,Dog,2,Mixed Breed,Female,Yellow,Cream,Medium,Short,No,No,Healthy,0,"posting on behalf of a friend: Her story: Peanut was about to be thrown in to SPCA if she has not been rescued this week. Poor little Peanut, so tiny and cute was left abandon outside housing premises in a cage. According to owner, he doesn't have the capability and strength to look after younger ones as he himself has two dogs. It's just sad how this cute amazing puppy is left abandon alone, while all other siblings have been taken away by passer by. Behavior observed: -Active and playful (likes soft toys to keep her company) -remains quite and still when u held her in ur arms. -Doesn't bark nor make noise whn it's bed time in her cage. -Poos twice a day (morning and night) *Owner are required to spay dog when she reaches 6 month of age. Kindly call : Angel or email",5,1
1692,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,For Adoption,1,3
9224,Dog,36,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,Yes,Minor Injury,0,"This was brownie on the streets. he was found by anitha . he had an accident and hurt his spinal cord, his legs were dragged around and was bruised and bleeding. He must have met and accident. Brownie met with dr lim, doggy was named brownie because he needed a name. Dr lim says , brownie nerves are not all damaged , his hind legs can still feel pain and can move abit. He went for operation. And now is at segar vet hospital recovering. he still can move around and he avoids himself being dirtied by the faeces. He does not need to be turned around every three hours. Taking care of him is easy. He needs a cage , food n water and some free time to walk around by himself sometimes. And he can move around and not bruise his skin by dragging, as long as he is not on the rough road. Is anyone able to give him a home ?, so that he wont be put to sleep? Brownie is a gentle soul. He does not bite at all , and he is very tame. Friendly with humans n knows how to shake hands. .I can sponsor his cage n monthly food . ..... my contact number",2,4
4894,Cat,12,Domestic Short Hair,Female,Brown,White,Small,Short,No,Yes,Healthy,0,"Macy is a spayed 1 year old rescued female. Small in size and has light blue eyes ( probably is siamese mix) . She is playful, friendly, gentle, adores attention . Litter box trained. Interested adopters can whatapp ~ .Location bangi/kajang",7,4
9774,Cat,1,Domestic Short Hair,Female,Brown,Gray,Small,Short,No,No,Healthy,0,Found her from my apartment downstairs. The vet estimate her to be 1 1/2 months old. She is dewormed and healthy now and hoping for a permanent home. Please contact Li Ann at if you are interested to bring her home.,3,1
